"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.univ-evry.fr/194.199.84.39","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIRzCCB82gAwIBAgIQc9nXK7nGDQFe98mnFa64DTAKBggqhkjOPQQDAzBgMQswCQYDVQQGEwJHUjE3MDUGA1UECgwuSGVsbGVuaWMgQWNhZGVtaWMgYW5kIFJlc2VhcmNoIEluc3RpdHV0aW9ucyBDQTEYMBYGA1UEAwwPR0VBTlQgVExTIEVDQyAxMB4XDTI1MTIxMTE2MjcyNVoXDTI2MTIxMTE2MjcyNVowgYkxCzAJBgNVBAYTAkZSMRcwFQYDVQQIDA7DjmxlLWRlLUZyYW5jZTEcMBoGA1UEBwwTw4l2cnktQ291cmNvdXJvbm5lczEoMCYGA1UECgwfVU5JVkVSU0lURSBEJ0VWUlkgVkFMIEQnRVNTT05ORTEZMBcGA1UEAwwQd3d3LnVuaXYtZXZyeS5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABOcTfIFFzdKLuGIoyh67TklnPJLAiAIfxBugsaurJSjZWsrfUZMxQwJkhPtO/URCN2JubgSrqNogERaJKVR7igajggY9MIIGOTAMBgNVHRMBAf8EAjAAMB8GA1UdIwQYMBaAFOmZBo0XH6v7lhpayFteXV7s2pyPMG8GCCsGAQUFBwEBBGMwYTA4BggrBgEFBQcwAoYsaHR0cDovL2NydC5oYXJpY2EuZ3IvSEFSSUNBLUdFQU5ULVRMUy1FMS5jZXIwJQYIKwYBBQUHMAGGGWh0dHA6Ly9vY3NwLXRscy5oYXJpY2EuZ3IwggNWBgNVHREEggNNMIIDSYIQd3d3LnVuaXYtZXZyeS5mcoIWbnVtZXJpcXVlLnVuaXYtZXZyeS5mcoIVd3d3LnNhdDEudW5pdi1ldnJ5LmZyghFyYXNtLnVuaXYtZXZyeS5mcoIWd3d3LmxhbWJlLnVuaXYtZXZyeS5mcoIRc2xhbS51bml2LWV2cnkuZnKCFXd3dy5sbWVlLnVuaXYtZXZyeS5mcoIaaW50ZXJuYXRpb25hbC51bml2LWV2cnkuZnKCFG11c2lxdWUudW5pdi1ldnJ5LmZygil3d3cubWFzdGVyLWNvbnRyb2xlLXBpbG90YWdlLnVuaXYtZXZyeS5mcoIaY2FtcHVzLW1hcmtldC51bml2LWV2cnkuZnKCG3NjaWVuY2VvdXZlcnRlLnVuaXYtZXZyeS5mcoIeY2VudHJlLWlubm92YXRpb24udW5pdi1ldnJ5LmZyghJjbXFhcy51bml2LWV2cnkuZnKCGHd3dy51ZnItc2hzLnVuaXYtZXZyeS5mcoIWd3d3LmxpdGVtLnVuaXYtZXZyeS5mcoIdd3d3LmVjb3V0ZWVuamV1eC51bml2LWV2cnkuZnKCFWludHJhbmV0LnVuaXYtZXZyeS5mcoIWZXR1ZGlhbnRzLnVuaXYtZXZyeS5mcoIWd3d3dy5zYXQ3LnVuaXYtZXZyeS5mcoIYdGVtcGV0ZTE5MzAudW5pdi1ldnJ5LmZyghZmb25kYXRpb24udW5pdi1ldnJ5LmZyghViaW9sb2dpZS51bml2LWV2cnkuZnKCFXRlcHAyMDIwLnVuaXYtZXZyeS5mcoIfd3d3LnNjaWVuY2VvdXZlcnRlLnVuaXYtZXZyeS5mcoIVd3d3LnNhdDQudW5pdi1ldnJ5LmZyghV3d3cuc2F0My51bml2LWV2cnkuZnKCGXd3dy5nZW5ob3RlbC51bml2LWV2cnkuZnKCEGxlYS51bml2LWV2cnkuZnKCHmRlcHQtaW5mb3JtYXRpcXVlLnVuaXYtZXZyeS5mcoIgc2VydmljZXMtbnVtZXJpcXVlcy51bml2LWV2cnkuZnKCGWxwcGF0cmltb2luZS51bml2LWV2cnkuZnKCFmV2cnljb2xvci51bml2LWV2cnkuZnIwLQYDVR0gBCYwJDAIBgZngQwBAgIwCAYGBACPegEHMA4GDCsGAQQBgc8RAQEBAjAdBgNVHSUEFjAUBggrBgEFBQcDAgYIKwYBBQUHAwEwPQYDVR0fBDYwNDAyoDCgLoYsaHR0cDovL2NybC5oYXJpY2EuZ3IvSEFSSUNBLUdFQU5ULVRMUy1FMS5jcmwwHQYDVR0OBBYEFEKnBA5nlXeSH6jtiG2oCEiaa4k8MA4GA1UdDwEB/wQEAwIHgDCCAX8GCisGAQQB1nkCBAIEggFvBIIBawFpAHUAwjF+V0UZo0XufzjespBB68fCIVoiv3/Vta12mtkOUs0AAAGbDkZNeQAABAMARjBEAiBkLcd8oSKNFVIq/bqCqlP0gn4Frn1UbzqtkvI/8gZRjAIgYtGtFsL6vdVdz+g80ndLLQi7RR+gkd+YGcb56igUAJUAdwCUTkOH+uzB74HzGSQmqBhlAcfTXzgCAT9yZ31VNy4Z2AAAAZsORk1kAAAEAwBIMEYCIQDYdbU/O7BB3Qgpgrt6bEeJ46LiliT5iCG4yTmmtPydowIhAMvhBupd5OUnIoJkxeiC4NWga7tQx2FraNmAqCJ95hZ6AHcA2AlVO5RPev/IFhlvlE+Fq7D4/F6HVSYPFdEucrtFSxQAAAGbDkZNMQAABAMASDBGAiEAsAJHCR5+qxBPDcX4/EbkzWM1h+t8LwQc7+iKmE8ijk0CIQCVi7PXBGyjr/5oIOsZjhtIjfvF3toSSgD1P7NX/LlcdDAKBggqhkjOPQQDAwNoADBlAjAk+q57fKa4AWe49laqmmvE6JxgFELl5mwStc2RmHvAGZa/D+l03ytkTi9KHgwpxvgCMQCwuOMQMgdk5O/tsXhPRyaGK3PWiMBF2jvGy2G8J1jBHwpokYBLEqVLfmW1l/HY2kI=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.univ-evry.fr/194.199.84.39","443","OK","www.univ-evry.fr","",""
"cert_commonName_wo_SNI","www.univ-evry.fr/194.199.84.39","443","INFO","infra-typo3-12","",""
"cert_subjectAltName","www.univ-evry.fr/194.199.84.39","443","INFO","www.univ-evry.fr numerique.univ-evry.fr www.sat1.univ-evry.fr rasm.univ-evry.fr www.lambe.univ-evry.fr slam.univ-evry.fr www.lmee.univ-evry.fr international.univ-evry.fr musique.univ-evry.fr www.master-controle-pilotage.univ-evry.fr campus-market.univ-evry.fr scienceouverte.univ-evry.fr centre-innovation.univ-evry.fr cmqas.univ-evry.fr www.ufr-shs.univ-evry.fr www.litem.univ-evry.fr www.ecouteenjeux.univ-evry.fr intranet.univ-evry.fr etudiants.univ-evry.fr wwww.sat7.univ-evry.fr tempete1930.univ-evry.fr fondation.univ-evry.fr biologie.univ-evry.fr tepp2020.univ-evry.fr www.scienceouverte.univ-evry.fr www.sat4.univ-evry.fr www.sat3.univ-evry.fr www.genhotel.univ-evry.fr lea.univ-evry.fr dept-informatique.univ-evry.fr services-numeriques.univ-evry.fr lppatrimoine.univ-evry.fr evrycolor.univ-evry.fr","",""
"cert_trust","www.univ-evry.fr/194.199.84.39","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.univ-evry.fr/194.199.84.39","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.univ-evry.fr/194.199.84.39","443","INFO","no","",""
"cert_expirationStatus","www.univ-evry.fr/194.199.84.39","443","OK","355 >= 60 days","",""
"cert_notBefore","www.univ-evry.fr/194.199.84.39","443","INFO","2025-12-11 16:27","",""
"cert_notAfter","www.univ-evry.fr/194.199.84.39","443","OK","2026-12-11 16:27","",""
